projected_views_ply_dirs/view_26_e60_a60/gpt_input/01/00.png,Part of a tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/10.png,handle, plastic, 1.4
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/11.png,Handle, metal, 7.85
projected_views_ply_dirs/view_18_e-60_a180/gpt_input/01/12.png,Handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/00.png,handle, metal, 7.85-8.05
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/01.png,part of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/02.png,handle, plastic, 1.2
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/06.png,handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/07.png,Handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/08.png,handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/09.png,Handle, plastic, 1.2
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/10.png,part of a shoe, rubber, 1.2-1.5
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/11.png,handle, metal, 7.85
projected_views_ply_dirs/view_17_e-60_a150/gpt_input/01/12.png,Handle, metal, 7.85
projected_views_ply_dirs/view_03_e0_a90/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_03_e0_a90/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_03_e0_a90/gpt_input/01/02.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_03_e0_a90/gpt_input/01/03.png,rubber tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_03_e0_a90/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/00.png,part of a tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/02.png,Handle, metal, 7.85
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/03.png,part of a shoe sole, rubber, 1.15-1.25
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/05.png,part of a tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/06.png,part of a car tire, rubber, 1.15-1.25
projected_views_ply_dirs/view_27_e60_a90/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_11_e0_a330/gpt_input/01/00.png,Handle, stainless steel, 7.9
projected_views_ply_dirs/view_11_e0_a330/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_11_e0_a330/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_11_e0_a330/gpt_input/01/03.png,Handle, stainless steel, 8.0
projected_views_ply_dirs/view_11_e0_a330/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_24_e60_a0/gpt_input/01/00.png, Tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_24_e60_a0/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_24_e60_a0/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_24_e60_a0/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/00.png,handle, stainless steel, 7.93
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/02.png,part of a rubber tire, rubber, 1.15-1.20
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/04.png,handle, brass, 8.5
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/06.png,Part of a car tire, rubber, 1.15-1.25
projected_views_ply_dirs/view_20_e-60_a240/gpt_input/01/07.png,handle, rubber, 1.55
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/00.png,partial object, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/01.png,handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/03.png,handle, plastic, 1.2
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_23_e-60_a330/gpt_input/01/06.png,Handle, plastic, 1.2
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/00.png,A segment of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/02.png,Handle, metal, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/06.png,part of a tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/08.png,handle, stainless steel, 7.85
projected_views_ply_dirs/view_02_e0_a60/gpt_input/01/09.png,part of a tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/01.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/02.png,Handle, steel, 7.85
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/03.png,Handle, stainless steel, 7.85
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/04.png,Handle, plastic, 1.25
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/06.png,handle, metal, 7.85
projected_views_ply_dirs/view_32_e60_a240/gpt_input/01/07.png, Tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_34_e60_a300/gpt_input/01/00.png,A segment of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_34_e60_a300/gpt_input/01/01.png,Handle, plastic, 1.35
projected_views_ply_dirs/view_34_e60_a300/gpt_input/01/02.png,Handles, metal, 7.85
projected_views_ply_dirs/view_34_e60_a300/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_34_e60_a300/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/02.png,handle, plastic, 1.25
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/03.png,handle, brass, 8.5
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/04.png,Part of a car tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/05.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/06.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/07.png,part of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/08.png,handle, metal, 7.85
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/09.png,Handle, metal, 7.85
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/10.png,part of a car tire, rubber, 1.15-1.25, Shore A 70-90
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/11.png,Handle, metal, 7.85
projected_views_ply_dirs/view_10_e0_a300/gpt_input/01/12.png,Handle, metal, 7.85
projected_views_ply_dirs/view_13_e-60_a30/gpt_input/01/00.png,Handle, plastic, 1.2
projected_views_ply_dirs/view_13_e-60_a30/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_13_e-60_a30/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_13_e-60_a30/gpt_input/01/03.png, Handle, stainless steel, 7.85(g/cm^3)
projected_views_ply_dirs/view_13_e-60_a30/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_13_e-60_a30/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_30_e60_a180/gpt_input/01/00.png,part of a car tire, rubber, 1.15-1.25
projected_views_ply_dirs/view_30_e60_a180/gpt_input/01/01.png,partial object, plastic, 1.4
projected_views_ply_dirs/view_30_e60_a180/gpt_input/01/02.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_30_e60_a180/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_30_e60_a180/gpt_input/01/04.png,part of a car tire, rubber, 1.15-1.25
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/00.png,(part of a car tire, rubber, 1.1-1.5)
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/02.png,Handle, brass, 8.5
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/06.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/07.png,Handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/08.png,handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/09.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/10.png,handle, stainless steel, 7.93
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/11.png,Handle, metal, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/12.png,handle, stainless steel, 7.85
projected_views_ply_dirs/view_05_e0_a150/gpt_input/01/13.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/00.png,part of a tire, rubber, 1.25-1.50
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/02.png,part of a shoe, rubber, 1.1-1.5
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/04.png,Handle, metal, 7.85
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/06.png,part of a tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_15_e-60_a90/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/00.png,part of a tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/03.png,part of a shoe sole, rubber, 1.2-1.5
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/04.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/06.png,part of a tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/08.png,Handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/09.png,Handle, metal, 7.85
projected_views_ply_dirs/view_07_e0_a210/gpt_input/01/10.png,handle, plastic, 1.25-1.45
projected_views_ply_dirs/view_31_e60_a210/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_31_e60_a210/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_31_e60_a210/gpt_input/01/02.png,handle, plastic, 1.4
projected_views_ply_dirs/view_31_e60_a210/gpt_input/01/03.png,handle, nylon, 1.15
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/02.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/03.png,Part of a steering wheel, rubber, 1.1-1.2
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/04.png,wheel, rubber, 1.1-1.2
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/05.png,partial handle, stainless steel, 7.93
projected_views_ply_dirs/view_00_e0_a0/gpt_input/01/06.png,handle, metal, 7.85
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/00.png,Handle, plastic, 1.2-1.4
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/01.png,handle, stainless steel, 7.93
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/02.png,Handle, plastic, 1.25
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/04.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/06.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_19_e-60_a210/gpt_input/01/07.png,.handle, metal, 7.85
projected_views_ply_dirs/view_35_e60_a330/gpt_input/01/00.png,handle, rubber, 1.1-1.5
projected_views_ply_dirs/view_35_e60_a330/gpt_input/01/01.png,handle, plastic, 1.2
projected_views_ply_dirs/view_35_e60_a330/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_21_e-60_a270/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_21_e-60_a270/gpt_input/01/01.png,(Handle of a suitcase, plastic, 1.2)
projected_views_ply_dirs/view_21_e-60_a270/gpt_input/01/02.png,a partial handle, plastic, 1.2
projected_views_ply_dirs/view_21_e-60_a270/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_21_e-60_a270/gpt_input/01/04.png, Tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_14_e-60_a60/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_14_e-60_a60/gpt_input/01/01.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_14_e-60_a60/gpt_input/01/02.png,Handle, plastic, 1.2-1.4
projected_views_ply_dirs/view_14_e-60_a60/gpt_input/01/03.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_14_e-60_a60/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_14_e-60_a60/gpt_input/01/05.png,Handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/00.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/01.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/02.png,Handle, stainless steel, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/04.png,Handle, plastic, 1.25
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/05.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/06.png,Handle, plastic, 1.2 - 1.5
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/08.png,part of a bicycle tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/09.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/10.png,handle, metal, 7.85
projected_views_ply_dirs/view_04_e0_a120/gpt_input/01/11.png,Handle, plastic, 1.2 - 1.4
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/00.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/02.png,handle, stainless steel, 7.93
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/03.png,Handle, metal, 7.85
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/04.png,partial object, plastic, 1.25
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/05.png,handle, plastic, 1.25
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/06.png,Handle of a kitchen knife, stainless steel, 7.93
projected_views_ply_dirs/view_28_e60_a120/gpt_input/01/07.png,Handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/00.png,handle, plastic, 1.2
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/02.png,Handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/03.png,part of a car tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/04.png,handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/05.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/06.png,handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/07.png,handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/08.png,.handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/09.png,Handle, plastic, 1.2 - 1.5
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/10.png,Handle, metal, 7.85
projected_views_ply_dirs/view_16_e-60_a120/gpt_input/01/11.png,Handle, metal, 7.85
projected_views_ply_dirs/view_12_e-60_a0/gpt_input/01/00.png,handle, plastic, 1.2
projected_views_ply_dirs/view_12_e-60_a0/gpt_input/01/01.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_12_e-60_a0/gpt_input/01/02.png,caption, material, density(g/cm^3)
projected_views_ply_dirs/view_12_e-60_a0/gpt_input/01/03.png,Part of a shoe sole, rubber, 1.1-1.5
projected_views_ply_dirs/view_12_e-60_a0/gpt_input/01/04.png, Tire tread, rubber, 1.15-1.25
projected_views_ply_dirs/view_25_e60_a30/gpt_input/01/00.png,Part of a car tire, rubber, 1.1-1.5
projected_views_ply_dirs/view_25_e60_a30/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_25_e60_a30/gpt_input/01/02.png,A handle of a tool, stainless steel, 7.9
projected_views_ply_dirs/view_25_e60_a30/gpt_input/01/03.png,handle, metal, 7.85
projected_views_ply_dirs/view_25_e60_a30/gpt_input/01/04.png,Handle, stainless steel, 7.85
projected_views_ply_dirs/view_09_e0_a270/gpt_input/01/00.png,handle, stainless steel, 7.9
projected_views_ply_dirs/view_09_e0_a270/gpt_input/01/01.png,Handle, metal, 7.85
projected_views_ply_dirs/view_09_e0_a270/gpt_input/01/02.png,handle, metal, 7.85
projected_views_ply_dirs/view_09_e0_a270/gpt_input/01/03.png,Part of a car tire, rubber, 1.1-1.2
projected_views_ply_dirs/view_09_e0_a270/gpt_input/01/05.png,Handle, metal, 7.85
